ns,link,RdfLink
dc,http://purl.org/dc/elements/1.1/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_elements.rdf
dc-am,http://purl.org/dc/dcam/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_abstract_model.rdf
dc-mitype,http://purl.org/dc/dcmitype/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_type.rdf
dc-terms,http://purl.org/dc/terms/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.rdf
foaf,http://xmlns.com/foaf/spec/,http://xmlns.com/foaf/spec/index.rdf
fr-broo,http://iflastandards.info/ns/fr/frbr/frbroo/,http://iflastandards.info/ns/fr/frbr/frbroo.xml
fr-ad,http://iflastandards.info/ns/fr/frad/,http://iflastandards.info/ns/fr/frad.xml
fr-brer,http://iflastandards.info/ns/fr/frbr/frbrer/,http://iflastandards.info/ns/fr/frbr/frbrer.xml
fr-sad,http://iflastandards.info/ns/fr/frsad/,http://iflastandards.info/ns/fr/frsad.xml
isbd,http://iflastandards.info/ns/isbd/elements/,http://iflastandards.info/ns/isbd/elements.xml
lrmer,http://iflastandards.info/ns/lrm/lrmer/,http://iflastandards.info/ns/lrm/lrmer.xml
skos,http://www.w3.org/2004/02/skos/core,http://www.w3.org/TR/skos-reference/skos.rdf
owl,http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#
rdfs,https://www.w3.org/2000/01/rdf-schema,https://www.w3.org/2000/01/rdf-schema
rdf,https://www.w3.org/1999/02/22-rdf-syntax-ns#,https://www.w3.org/1999/02/22-rdf-syntax-ns#
cidoc,http://www.cidoc-crm.org/cidoc-crm/,./Onthologie/CIDOC_CRM_v7.1.1.rdf
geo,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#
